City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
854,854,Daru,PG,-9.0763,143.2092,79.66,87,100,14.0,Daru Lodge
860,860,Samdari,IN,25.8167,72.5833,78.58,21,6,7.43,Karnoba Ki Dhani
861,861,Tamiahua,MX,21.2667,-97.45,82.08,64,63,12.12,Mission Of The Sun Hotel
862,862,Ciudad Bolivar,VE,8.1222,-63.5497,87.69,55,77,5.95,Hotel Edi
873,873,Rio Grande,BR,-32.035,-52.0986,82.51,74,0,14.85,Hotel Atlântico Rio Grande
876,876,Fonte Boa,BR,-2.4959,-66.2662,85.14,70,100,2.33,
879,879,Sibolga,ID,1.7427,98.7792,76.15,91,100,2.89,Hotel Syariah CN Darussalam
881,881,Paita,PE,-5.0892,-81.1144,77.56,66,74,13.78,Hotel Náutico de Paita
885,885,Ambon,ID,-3.6954,128.1814,81.07,74,100,3.13,Swiss-Belhotel Ambon
886,886,Barra Patuca,HN,15.8,-84.2833,83.98,57,97,11.5,
887,887,Hit,IQ,33.6416,42.8251,78.91,27,100,10.63,صالون زيرو
899,899,Hobyo,SO,5.3505,48.5268,80.8,73,21,13.85,Halane Hotel and Restaurent
900,900,Reynosa,MX,26.0833,-98.2833,88.92,54,20,16.11,"Holiday Inn Reynosa Zona Dorada, an IHG Hotel"
907,907,Kilakarai,IN,9.2333,78.7833,78.85,85,100,13.8,Geohomz Jamath Kilakarai
915,915,Sukabumi,ID,-6.9181,106.9267,77.61,96,71,1.59,MaxoneHotels.Com @ Bounty Sukabumi
916,916,Lusaka,ZM,-15.4067,28.2871,77.95,34,98,3.15,"InterContinental Lusaka, an IHG Hotel"
920,920,Bolitoc,PH,15.7395,119.8769,78.26,71,14,4.52,Seasun Beach Resort & Hotel
921,921,Villa Sandino,NI,12.0483,-84.9936,87.17,72,84,11.88,Salón Rossmary
929,929,Ingleside,US,27.8778,-97.2117,86.16,57,1,4.0,Quality Inn Ingleside - Corpus Christi
936,936,Wanning,CN,18.8003,110.3967,75.87,91,91,6.91,Paradise Hotel
937,937,Gamba,GA,-2.65,10.0,76.55,88,100,5.5,
938,938,Buin,CL,-33.7333,-70.75,79.12,26,100,10.22,Paihuen
939,939,Saint-Georges,GD,12.0564,-61.7485,85.68,66,20,16.11,Radisson Grenada Beach Resort
955,955,Abu Kamal,SY,34.4506,40.9171,76.19,35,100,6.06,محطة التلفاز
960,960,Kandrian,PG,-6.2167,149.55,77.54,90,64,8.57,Kandrian Station
967,967,Cartagena,CO,10.3997,-75.5144,82.02,89,75,10.36,Hotel Colombia Real - Cartagena
971,971,Luanda,AO,-8.8368,13.2343,77.0,83,75,9.22,Hotel Fórum
973,973,Lamar,US,33.6668,-95.5836,76.64,36,1,5.75,Kings Inn Paris TX
976,976,Sensuntepeque,SV,13.8667,-88.6333,83.97,60,14,1.79,Hotel Las Palmas
982,982,Kutum,SD,14.2,24.6667,82.98,21,100,6.53,Dibbo areaمنطقة دبو
986,986,Kirakira,SB,-10.4544,161.9205,78.22,84,65,8.39,SanBiz Lodge
1002,1002,Neiafu,TO,-18.65,-173.9833,77.68,78,40,10.36,Mystic Sands Beachfront Accommodation
1005,1005,Lodwar,KE,3.1191,35.5973,89.17,30,59,19.3,Solmar Gracious Hotel
1006,1006,Lajeado,BR,-29.4669,-51.9614,80.01,75,99,3.78,Imperatriz Hotel
1011,1011,Manta,EC,-0.95,-80.7333,78.58,69,40,10.36,Balandra Hotel
